UserID,Split,DegreeType,CurrentlyEmployed,ManagedOthers,WorkHistoryTopic,WorkHistoryLevel,SeniorLevel
9423,Train,1,0,0,0,2,4
9444,Train,1,1,0,0,1,3
9505,Train,4,0,0,0,3,2
9587,Train,4,1,1,0,3,5
9600,Train,1,1,1,0,1,4
9655,Train,5,1,0,0,3,6
9712,Train,4,0,1,0,3,4
9764,Train,3,1,0,0,1,4
9802,Train,1,0,0,0,2,3
9829,Train,4,1,0,0,3,6
9880,Train,6,1,0,0,3,6
10041,Train,4,1,0,0,3,4
10060,Train,2,1,0,0,3,4
10064,Train,0,1,0,0,2,4
10089,Train,3,0,0,0,2,1
10094,Train,3,0,0,0,1,0
10173,Train,1,0,0,0,1,1
10216,Train,1,0,0,8,1,3
10269,Train,1,1,1,0,3,6
10303,Train,0,1,0,14,1,3
10404,Train,4,1,0,0,3,6
10407,Train,1,0,1,0,2,4
10470,Train,4,0,0,0,1,6
10503,Train,4,0,0,0,3,6
10551,Train,4,0,0,0,2,1
10608,Train,4,0,0,1,1,1
10643,Train,4,1,0,0,1,3
10655,Train,4,0,0,0,2,1
10686,Train,4,0,0,0,1,3
10718,Test,1,1,1,0,0,3
10782,Train,5,0,0,15,1,2
10815,Train,5,1,0,0,1,3
10857,Train,4,1,0,0,3,6
10971,Train,3,1,0,0,1,4
11083,Train,3,1,0,0,1,4
11148,Train,1,1,0,0,2,1
11278,Train,1,1,1,0,3,6
11348,Train,4,1,0,0,1,1
11485,Train,1,1,0,0,1,5
11576,Train,4,1,0,0,1,3
11638,Train,0,1,0,0,1,2
11660,Train,4,1,0,0,3,4
11674,Train,1,1,0,0,2,3
11679,Train,1,0,0,0,1,2
11781,Train,4,0,1,0,2,5
11850,Train,1,1,0,0,2,4
11902,Train,3,1,1,0,2,6
11933,Train,4,1,0,0,2,3
11997,Train,3,1,0,0,1,3
12103,Train,3,1,0,0,3,2
12117,Train,0,1,0,0,0,1
12174,Train,0,0,0,0,1,3
12384,Train,3,1,0,2,1,2
12511,Train,4,1,0,16,2,6
12647,Train,1,0,0,0,2,2
12655,Train,1,0,0,0,2,1
12762,Train,1,0,1,0,2,6
12763,Train,1,1,0,0,2,6
12778,Train,4,1,1,0,2,5
12779,Train,3,0,0,0,1,3
12837,Train,4,0,0,0,1,2
12883,Train,1,0,0,0,0,1
12913,Train,5,1,1,0,2,2
12941,Test,4,1,0,0,0,
13019,Train,0,0,0,0,3,6
13079,Train,1,1,0,0,1,2
13203,Train,1,1,0,0,2,3
13339,Train,0,1,0,0,1,2
13372,Train,3,1,0,0,1,1
13443,Train,0,1,0,0,3,6
13485,Train,1,1,0,13,2,2
13502,Train,1,1,1,0,1,3
13622,Train,1,1,1,0,3,3
13742,Test,4,0,0,0,1,2
13798,Train,0,1,0,0,2,4
13817,Train,4,0,0,0,2,4
13872,Train,1,1,0,0,2,3
14004,Train,0,0,0,0,3,5
14107,Train,0,0,0,7,3,6
14148,Train,1,1,1,8,2,4
14151,Train,0,0,0,0,2,2
14194,Train,4,0,0,0,2,4
14199,Train,2,1,1,10,3,5
14205,Train,3,1,0,0,2,3
14348,Train,4,1,1,0,3,4
14423,Train,1,1,0,0,2,4
14447,Train,4,1,0,0,1,3
14455,Train,1,0,1,0,1,6
14529,Train,4,1,0,0,2,3
14580,Train,4,1,1,0,3,5
14581,Train,4,0,1,0,1,6
14607,Train,4,1,0,0,2,4
14634,Train,1,1,0,8,3,6
14715,Train,4,1,0,15,1,3
14729,Train,4,1,0,0,2,6
14742,Train,4,0,0,14,2,3
14749,Train,4,1,1,0,1,4
14837,Train,5,1,0,0,2,2
14840,Train,1,1,0,4,1,3
14855,Train,4,1,1,0,1,1
15137,Train,5,0,1,0,3,6
15209,Train,1,1,1,0,2,5
15269,Train,5,0,0,18,1,2
15296,Train,1,1,0,0,1,1
15430,Train,1,0,0,0,2,4
15459,Train,1,0,0,0,3,4
15473,Train,6,1,0,0,3,5
15478,Train,0,1,0,0,2,6
15539,Train,4,1,0,0,0,0
15551,Train,1,1,0,0,2,4
15682,Train,6,0,0,0,3,6
15685,Train,3,0,1,0,0,3
15725,Train,4,1,1,0,1,3
15951,Train,1,0,0,0,0,
15995,Train,1,1,0,17,2,5
16038,Train,0,0,0,10,1,1
16119,Train,0,1,0,10,1,1
16250,Train,1,1,0,0,1,1
16266,Train,1,0,1,3,2,6
16416,Train,5,1,0,0,3,4
16459,Train,4,1,1,0,2,1
16488,Train,5,1,0,0,3,6
16501,Train,3,0,0,0,1,1
16512,Train,1,0,1,0,1,0
16526,Train,1,0,0,0,1,5
16538,Train,5,0,0,0,0,0
16601,Train,5,1,0,2,3,6
16630,Train,5,1,0,0,3,3
16637,Train,4,0,1,0,1,3
16773,Train,1,0,0,0,3,6
16809,Train,1,0,0,0,2,3
16844,Test,4,1,0,0,1,3
16877,Train,1,0,0,0,0,1
16951,Train,1,0,0,0,2,2
16954,Train,0,1,0,0,3,6
16977,Train,4,0,0,0,3,4
17002,Train,4,0,0,0,0,0
17120,Train,4,1,0,11,2,4
17132,Train,1,1,0,0,0,2
17168,Train,4,1,1,0,0,2
17178,Train,0,1,0,0,2,4
17255,Train,4,1,0,0,1,1
17483,Train,4,1,0,0,0,6
17496,Train,1,0,0,10,2,3
17509,Train,1,1,0,0,3,4
17534,Train,4,0,0,0,2,3
17575,Train,0,1,0,0,1,3
17734,Train,4,1,0,0,2,5
17996,Train,3,1,1,0,2,2
18012,Train,5,1,0,0,2,2
18124,Train,1,0,0,0,2,2
18238,Train,2,0,1,0,3,6
18253,Train,1,0,1,0,3,3
18261,Train,1,1,0,0,1,5
18316,Train,1,0,0,17,1,6
18373,Train,0,0,0,0,0,2
18410,Train,4,1,0,0,2,3
18466,Train,4,1,0,10,3,5
18472,Train,1,1,0,0,2,3
18530,Train,1,1,1,10,2,3
18541,Train,4,1,0,0,3,6
18542,Train,4,0,0,13,1,2
18588,Train,4,1,0,0,2,3
18635,Train,5,0,1,0,3,6
18793,Train,4,1,0,0,2,6
18817,Test,0,0,0,2,1,2
18829,Train,3,1,0,0,3,3
18844,Train,4,1,0,0,1,4
18911,Train,1,0,0,0,2,6
18928,Train,4,0,0,0,2,6
18990,Train,0,0,0,0,1,3
18998,Train,4,1,1,0,2,3
19069,Train,1,0,0,0,1,3
19190,Train,1,0,1,0,3,3
19251,Train,5,1,0,0,1,1
19280,Train,5,1,0,0,3,3
19324,Train,4,0,0,0,2,4
19383,Train,5,0,0,0,2,5
19517,Train,0,1,0,0,2,6
19518,Train,1,1,0,0,1,6
19557,Train,4,0,0,3,2,3
19569,Train,4,1,0,0,3,6
19575,Train,4,0,0,0,2,6
19671,Train,0,1,0,8,3,3
19777,Train,5,1,0,0,2,2
19790,Train,4,0,1,0,2,3
19889,Train,0,1,0,0,1,3
19894,Train,4,1,0,0,3,5
20019,Train,5,1,1,0,3,2
20146,Train,0,0,0,0,2,3
20353,Train,4,1,1,0,2,4
20487,Train,1,1,0,0,2,3
20550,Train,1,1,0,0,2,4
20607,Train,3,0,0,0,2,2
20682,Train,3,1,0,0,1,3
20860,Train,4,1,1,0,2,5
20883,Train,4,1,0,0,1,3
20903,Train,4,1,0,0,2,3
20915,Train,1,1,1,0,3,3
20932,Train,3,1,0,0,1,2
20947,Train,1,1,0,0,3,4
20992,Train,1,0,0,0,1,1
21048,Train,4,1,0,11,0,
21049,Train,5,0,0,0,1,3
21070,Train,0,1,0,0,1,3
21123,Train,1,1,1,0,3,4
21156,Train,4,0,0,0,2,3
21215,Train,4,1,0,0,2,3
21247,Test,3,1,1,0,3,5
21334,Train,0,0,0,0,1,3
21349,Train,4,0,0,0,1,4
21370,Train,1,1,0,0,0,0
21394,Train,4,1,0,0,3,3
21413,Train,4,1,0,0,3,3
21432,Train,4,1,0,0,3,3
21500,Train,5,1,0,0,2,2
21573,Train,1,1,0,0,3,6
21615,Train,1,0,0,8,0,4
21618,Train,1,1,0,0,1,3
21657,Train,4,1,1,0,3,4
21719,Train,5,1,0,0,2,3
21821,Train,4,1,0,0,3,6
21990,Train,1,0,0,10,1,1
21994,Train,1,1,1,2,0,3
22034,Train,4,1,0,0,2,5
22220,Train,4,0,0,14,0,1
22241,Train,5,1,1,10,1,3
22287,Train,5,1,0,0,3,1
22300,Train,1,0,0,0,0,1
22301,Train,4,1,0,0,2,2
22393,Train,1,1,0,0,1,1
22396,Train,4,0,0,10,1,2
22679,Train,3,0,0,0,3,5
22687,Train,3,1,1,0,1,4
22772,Train,3,1,0,14,3,3
22789,Train,4,1,1,0,2,5
22802,Train,4,0,1,0,2,2
22880,Train,3,1,1,3,2,5
22939,Train,1,1,0,0,2,4
22999,Train,4,1,1,0,3,4
23144,Train,6,0,0,18,2,3
23151,Train,2,1,1,0,1,4
23156,Train,0,0,0,0,1,6
23242,Train,5,1,1,0,3,3
23261,Train,1,1,1,0,3,6
23269,Train,1,0,0,15,1,1
23296,Train,3,1,0,0,3,6
23348,Train,0,1,0,0,1,2
23491,Train,0,1,0,0,3,3
23542,Train,1,0,0,0,2,2
23578,Train,1,1,0,0,0,0
23722,Train,5,1,0,0,2,6
23744,Train,0,1,0,0,2,3
23753,Train,3,0,0,0,3,4
23918,Test,1,1,0,0,2,3
23959,Train,4,0,1,0,2,3
24041,Train,4,1,0,0,3,6
24146,Train,4,1,0,0,2,4
24147,Train,3,0,0,10,2,3
24246,Train,3,1,0,0,1,1
24255,Train,3,1,1,0,0,1
24266,Train,1,0,0,0,1,3
24291,Train,1,1,0,0,1,1
24433,Train,3,1,0,0,2,4
24529,Train,1,0,0,0,1,6
24607,Train,1,1,0,0,1,3
24664,Train,4,0,1,0,1,5
24736,Train,1,0,1,0,0,2
24872,Train,0,1,0,0,2,2
24878,Train,4,1,0,0,3,2
24917,Train,4,1,0,0,1,3
24927,Train,4,0,0,0,1,4
25030,Train,4,1,0,0,3,1
25059,Train,1,0,0,0,2,3
25075,Train,1,1,0,8,3,3
25133,Train,1,0,0,0,0,1
25153,Train,0,0,0,16,2,3
25269,Test,4,0,1,0,2,4
25293,Train,3,0,0,0,2,4
25374,Train,4,1,0,0,1,4
25464,Train,3,0,0,0,1,3
25476,Train,5,1,1,0,3,4
25522,Train,1,0,0,16,3,6
25570,Train,4,0,0,0,2,2
25676,Train,4,0,1,0,2,6
25688,Train,4,0,1,0,2,0
25776,Train,4,1,0,0,3,4
25821,Train,4,1,0,0,2,1
25840,Train,1,1,0,14,2,2
25885,Train,1,0,0,0,1,4
26157,Train,1,0,0,0,2,3
26190,Train,5,1,1,0,3,6
26214,Train,4,1,0,0,1,2
26229,Train,5,0,1,0,2,6
26275,Test,1,0,1,0,1,3
26289,Train,4,1,0,0,2,3
26308,Test,1,0,1,0,2,3
26479,Train,4,1,0,0,2,2
26481,Train,4,1,1,0,0,4
26487,Train,1,1,0,0,2,6
26533,Train,1,1,0,0,0,2
26617,Train,4,1,1,0,2,1
26628,Train,5,1,1,0,1,2
26642,Train,4,1,0,0,3,4
26823,Train,1,1,0,2,2,2
26958,Train,4,0,0,0,3,6
26990,Train,4,0,0,0,1,3
27011,Train,1,0,0,0,1,4
27027,Train,4,1,0,0,3,4
27032,Train,1,1,0,0,1,3
27133,Train,3,1,0,0,3,6
27173,Train,5,0,1,19,2,5
27338,Train,1,0,0,0,0,6
27548,Train,4,1,0,0,1,4
27757,Train,5,0,0,0,3,1
27772,Train,4,1,0,0,3,5
27776,Train,4,0,0,0,1,0
28015,Train,4,1,1,0,3,6
28070,Train,4,1,0,0,1,2
28120,Train,4,0,0,0,1,3
28195,Train,4,0,0,0,3,1
28281,Train,0,0,0,10,2,3
28374,Train,1,1,0,0,0,0
28407,Train,6,1,0,0,3,3
28460,Train,3,1,0,8,3,6
28492,Train,2,1,0,0,1,3
28496,Train,3,1,0,0,1,2
28534,Train,1,0,0,0,1,4
28563,Train,2,1,0,16,2,2
28648,Train,4,1,0,10,2,2
28764,Train,0,1,0,0,2,5
28854,Train,0,0,0,0,1,6
29000,Train,4,0,0,0,3,6
29050,Train,0,1,0,0,1,3
29080,Train,5,1,0,0,1,2
29183,Train,0,0,0,0,1,1
29274,Train,5,1,1,3,3,6
29281,Train,5,0,0,0,3,2
29291,Train,4,1,0,0,1,2
29357,Train,4,0,0,0,2,3
29372,Train,4,1,0,0,1,3
29457,Train,4,0,0,0,3,5
29468,Train,1,0,0,0,1,3
29479,Train,4,1,1,0,2,6
29485,Train,4,1,1,0,1,4
29488,Train,2,1,1,0,3,6
29531,Train,3,0,0,0,2,5
29597,Train,1,0,0,0,3,4
29612,Train,4,1,0,10,1,3
29617,Train,4,0,1,0,2,5
29690,Train,1,1,0,0,1,3
29712,Train,1,1,0,19,2,5
29803,Train,1,0,0,0,1,3
29927,Train,4,1,0,0,1,1
30166,Train,6,1,0,0,3,4
30257,Train,4,1,0,0,1,1
30302,Train,1,0,0,0,1,1
30322,Train,1,0,1,0,3,3
30346,Train,4,0,0,19,1,5
30371,Train,1,0,0,0,2,3
30407,Train,4,1,0,0,3,6
30423,Train,1,1,0,10,3,6
30464,Train,4,0,0,0,0,1
30725,Test,1,1,0,0,2,3
30783,Train,5,1,1,0,3,4
30806,Train,1,1,0,0,2,1
30993,Train,1,0,0,0,1,6
31026,Train,4,1,0,0,2,3
31045,Train,1,0,0,0,2,5
31198,Train,1,0,1,0,3,6
31240,Train,1,0,0,0,2,4
31243,Test,3,0,0,0,2,4
31283,Train,3,1,0,0,1,2
31300,Train,1,1,0,0,3,4
31369,Train,4,1,0,0,2,6
31514,Train,4,0,1,0,1,1
31537,Train,1,1,0,0,1,4
31619,Train,1,1,0,0,1,2
31640,Train,1,1,0,0,1,3
31686,Train,0,1,0,0,2,4
31722,Train,1,0,0,0,1,3
31889,Train,3,1,0,0,2,3
31999,Train,0,1,0,0,2,4
32081,Train,4,1,0,0,2,1
32085,Train,1,1,0,10,2,3
32103,Train,5,1,0,0,3,4
32172,Train,1,1,0,0,2,3
32211,Train,4,0,0,19,2,2
32259,Train,4,0,0,0,2,4
32357,Train,1,1,0,0,2,2
32449,Train,1,1,0,0,2,3
32523,Train,4,1,0,0,3,5
32539,Train,4,0,1,0,1,5
32639,Train,1,1,0,0,1,2
32675,Train,4,1,0,0,1,6
32894,Train,4,1,1,0,3,4
32972,Train,3,1,1,0,2,4
33009,Train,0,0,0,0,1,3
33010,Train,4,1,0,0,2,3
33063,Train,0,0,0,0,1,5
33180,Train,5,1,0,0,2,4
33230,Train,4,1,0,0,3,3
33281,Train,1,0,0,0,3,4
33336,Train,4,1,0,0,1,3
33416,Train,4,1,0,0,2,4
33437,Train,4,1,0,0,2,2
33539,Train,2,0,0,0,1,1
33558,Train,4,0,0,17,2,3
33643,Train,5,1,0,0,1,1
33654,Train,3,1,1,0,3,5
33680,Train,4,1,0,0,2,3
33705,Train,5,0,0,0,3,6
33817,Train,0,0,0,0,3,6
33895,Train,5,1,1,0,2,4
33967,Train,4,0,1,0,1,6
34011,Train,1,1,1,4,3,4
34084,Train,1,1,0,0,2,3
34109,Train,4,0,0,0,2,3
34113,Train,3,1,0,17,2,3
34175,Train,1,1,0,0,1,2
34239,Train,3,0,0,0,3,6
34240,Test,5,0,0,0,1,2
34280,Train,4,0,1,0,2,3
34365,Train,1,1,0,0,1,4
34444,Train,1,1,0,0,2,6
34511,Train,1,1,0,0,2,6
34540,Train,1,0,0,0,2,4
34681,Test,4,0,0,0,1,0
34746,Train,4,1,0,0,3,6
34761,Train,4,1,0,2,3,4
34855,Train,4,1,0,0,2,2
34863,Train,1,1,1,0,0,0
34904,Train,5,1,0,0,3,3
34967,Train,0,0,1,0,1,4
34968,Train,4,0,0,0,1,1
35060,Train,4,0,0,0,1,1
35112,Train,3,0,0,17,1,1
35145,Train,1,0,0,0,1,3
35175,Train,3,1,0,0,2,4
35207,Train,0,1,1,0,2,4
35347,Train,1,1,0,0,3,3
35348,Train,4,1,0,0,3,4
35370,Train,4,1,0,0,1,6
35412,Train,1,0,0,0,2,4
35457,Train,1,1,0,0,3,6
35547,Train,5,1,1,0,3,4
35549,Train,2,1,1,0,3,4
35730,Train,1,1,0,0,2,4
35737,Train,1,0,1,0,2,6
35740,Train,1,0,0,0,2,3
35960,Train,4,1,0,14,2,3
35974,Train,0,1,1,16,2,3
36103,Train,1,1,0,10,2,3
36193,Train,5,1,0,0,0,2
36270,Train,1,0,0,0,3,2
36289,Train,4,1,0,0,3,5
36349,Train,1,1,0,3,3,6
36438,Train,4,1,0,0,1,6
36469,Train,4,1,0,19,3,5
36517,Train,4,1,0,10,1,2
36551,Train,4,0,1,0,3,3
36601,Train,1,1,0,0,3,6
36606,Train,4,1,0,18,3,4
36686,Train,4,1,0,0,1,3
36720,Train,3,0,0,0,1,2
36731,Train,0,0,0,0,2,3
36879,Train,4,1,0,2,3,3
36925,Train,4,1,0,0,2,3
37019,Train,1,0,0,0,3,6
37166,Train,1,0,0,0,2,5
37187,Train,4,1,0,0,1,5
37259,Train,5,1,0,0,2,3
37346,Train,1,0,0,0,2,4
37420,Test,4,1,1,5,1,2
37443,Train,5,0,0,0,2,3
37507,Train,1,0,0,0,1,5
37610,Train,6,1,1,4,3,3
37711,Train,0,1,0,0,2,6
37745,Train,4,1,0,0,1,3
37933,Train,5,1,1,0,1,5
37993,Train,0,1,0,0,2,6
37999,Test,5,0,0,0,2,3
38012,Train,4,0,1,0,2,6
38040,Train,3,0,0,0,2,4
38104,Train,1,1,0,12,2,6
38202,Train,4,1,1,0,3,4
38321,Train,4,1,0,0,3,6
38384,Train,1,0,0,0,2,3
38413,Train,1,0,0,0,0,3
38537,Train,3,0,0,0,3,2
38547,Train,0,0,0,0,3,4
38564,Train,4,1,0,0,1,3
38638,Train,2,1,1,0,0,2
38640,Train,3,1,0,2,3,5
38660,Train,0,0,0,3,2,2
38714,Train,4,1,0,0,1,5
38778,Train,4,0,1,0,2,5
38840,Train,0,0,0,0,2,5
38927,Train,0,1,0,0,2,3
38958,Train,5,1,0,0,1,6
38973,Train,4,1,0,0,2,3
39014,Test,0,1,0,0,1,4
39025,Train,3,0,0,0,2,6
39114,Train,5,0,0,8,1,5
39166,Train,1,0,0,0,1,1
39199,Train,4,0,0,0,2,6
39412,Train,0,1,0,0,1,1
39500,Train,4,1,0,0,3,2
39703,Test,4,1,0,0,3,6
39817,Train,0,1,0,0,3,6
39912,Train,1,0,0,0,1,5
40056,Train,1,1,0,0,2,4
40066,Train,4,1,0,0,2,3
40197,Train,1,1,0,0,3,4
40204,Train,4,1,0,14,3,6
40205,Train,4,1,0,0,2,5
40254,Train,5,0,1,0,3,5
40271,Train,1,0,0,0,3,4
40466,Train,5,0,1,0,2,6
40493,Train,4,0,0,0,3,3
40596,Train,0,0,0,1,3,6
40795,Train,2,0,0,0,1,6
40846,Train,3,1,0,10,2,4
40851,Train,4,0,0,0,1,3
40913,Train,4,0,0,0,1,0
40919,Train,1,1,0,0,2,4
40948,Train,2,0,1,0,0,4
41019,Train,4,1,1,0,2,5
41024,Train,4,0,0,0,1,4
41042,Train,4,0,0,0,3,3
41128,Train,4,1,1,0,1,3
41146,Train,3,0,0,0,1,5
41230,Train,0,1,0,0,3,1
41240,Train,3,1,1,0,2,5
41278,Train,1,0,1,0,2,6
41291,Train,1,1,1,0,3,4
41313,Train,4,0,0,0,2,2
41431,Train,4,0,0,0,3,5
41467,Train,5,1,0,0,2,3
41468,Train,0,1,1,0,3,6
41547,Train,3,1,1,0,2,6
41656,Train,1,0,1,9,3,3
41688,Train,1,1,0,0,1,4
41710,Train,4,0,0,0,1,0
41722,Train,4,0,0,0,1,0
41753,Train,5,0,0,0,2,2
41771,Train,4,1,1,0,3,6
41911,Train,4,0,0,0,0,0
41933,Train,4,1,0,7,1,6
41980,Train,4,0,0,0,1,2
42124,Train,4,1,1,1,2,3
42134,Train,5,1,0,0,2,4
42173,Train,3,0,0,0,1,3
42306,Train,1,1,0,0,1,1
42533,Train,1,1,0,0,1,3
42664,Train,1,0,0,0,1,2
42680,Train,4,1,1,0,1,3
42735,Train,4,1,0,0,2,3
42771,Train,1,1,1,0,1,3
42783,Train,4,0,0,0,3,3
42849,Train,4,1,0,0,2,4
42924,Train,1,1,0,0,1,5
42956,Train,1,1,0,0,1,5
42987,Train,1,0,0,0,3,6
43098,Train,3,1,0,0,2,5
43145,Train,4,1,0,0,3,3
43158,Train,4,0,0,0,2,6
43303,Train,0,1,0,0,1,3
43351,Train,5,0,1,2,1,6
43508,Train,4,1,0,0,1,4
43513,Train,1,1,0,5,1,3
43600,Train,0,1,0,17,3,4
43657,Train,5,0,0,0,2,1
43684,Train,1,0,0,0,1,4
43721,Train,0,1,0,0,1,3
43795,Train,4,1,0,0,2,2
43804,Train,0,1,0,0,3,3
43886,Train,3,0,0,0,2,2
43897,Train,4,1,0,0,3,5
43956,Train,0,0,1,0,2,6
44012,Train,1,0,1,15,3,6
44123,Test,4,1,0,0,1,1
44138,Train,3,1,0,0,1,4
44185,Train,4,0,1,0,2,3
44214,Train,4,1,0,0,1,2
44312,Train,0,1,0,0,2,3
44344,Train,4,1,1,7,3,5
44453,Train,1,1,1,2,3,6
44464,Train,4,1,0,0,2,3
44515,Train,5,0,0,0,2,2
44574,Train,5,1,0,0,2,6
44620,Train,4,1,1,0,2,3
44629,Train,0,1,0,0,1,3
44645,Train,4,0,0,0,2,6
44720,Train,1,1,0,17,2,5
44778,Train,3,1,0,0,1,3
44798,Train,4,1,0,0,2,3
44895,Train,4,1,1,0,3,6
44923,Train,4,1,0,0,2,2
44939,Train,3,0,1,0,3,6
45020,Train,4,1,0,0,3,5
45024,Train,4,1,0,0,3,4
45122,Train,4,1,1,0,3,3
45249,Train,4,0,0,0,2,1
45267,Train,1,1,0,14,1,3
45279,Train,1,1,0,0,2,4
45345,Train,0,1,1,0,1,2
45605,Train,1,0,1,18,2,6
45617,Train,1,1,0,2,3,3
45734,Train,4,1,0,0,1,3
45874,Train,1,1,0,0,1,4
45889,Train,4,0,0,0,1,3
45919,Train,1,1,0,8,3,4
45929,Train,4,1,0,0,3,3
45937,Train,4,1,1,0,2,4
45965,Train,0,1,0,10,2,3
46077,Train,1,0,1,0,2,6
46106,Train,1,0,1,0,3,4
46107,Train,4,1,0,0,2,5
46260,Train,3,0,0,0,1,3
46372,Train,5,0,1,0,0,1
46412,Train,1,0,1,0,1,6
46440,Train,1,1,0,0,3,4
46609,Train,4,1,0,0,2,4
46628,Train,1,1,1,0,3,5
46705,Train,4,0,0,0,2,5
46758,Train,4,1,0,0,1,3
